       sourse  shift_dec_81  shift_ra_81  shift_dec_84  shift_ra_84  shift_dec_121  shift_ra_121
78   0834-201     -0.057895     0.039444     -0.052204     0.026530      -0.030338      0.006080
79   0836+710      0.056568     0.068187      0.067967     0.085938      -0.000429      0.002497
80   0847-120     -0.005435    -0.001047      0.003393    -0.004476       0.000894      0.007598
81   0847-120     -0.029169    -0.004454      0.016421     0.059641       0.045619     -0.036214
82   0851+202      0.006337    -0.002201      0.005709     0.001011       0.006848      0.001860
83   0859-140     -0.111606     0.039097      0.034101    -0.040870      -0.051392      0.002825
84   0906+015      0.005089     0.006663      0.001507    -0.002608       0.009222      0.005230
85   0917+624     -0.003555     0.012276     -0.001778     0.011361      -0.002597      0.014036
86   0923+392     -0.032182     0.021561      0.059195     0.020524       0.026085      0.034019
87   0945+408     -0.528094     1.105125     -0.747303     1.326159      -0.071999      0.087504
88   0953+254     -0.077062    -0.056402     -0.022101     0.058261      -0.007841     -0.014901
89   0954+658      0.004953    -0.002226      0.010229    -0.003502      -0.003702      0.000416
90   0955+476     -0.004375    -0.000146     -0.004725     0.002564      -0.003512     -0.007477
91   1015+359      0.077071    -0.001392      0.079787    -0.001092      -0.015702      0.004763
92   1036+054      0.132386    -0.010359      0.035694    -0.008266       0.020322     -0.021177
93   1038+064     -0.015412     0.005959     -0.008582     0.001381      -0.008549      0.002097
94   1045-188      0.001626     0.001075     -0.000152    -0.000887      -0.001896      0.000158
95   1055+018     -0.006414     0.009846     -0.004183     0.018213      -0.001845      0.013686
96   1101+384     -0.007188     0.002381      0.006617     0.000152       0.001115      0.001578
97   1124-186     -0.008526     0.000475     -0.002216    -0.000194      -0.010214      0.000656
98   1127-145      0.007895    -0.036265      0.003060    -0.033765      -0.002387     -0.043926
99   1128-047     -0.094754    -0.117334     -0.093436    -0.093043      -0.066823     -0.018900
100  1128-047     -0.013136    -0.046944     -0.048089    -0.018542      -0.058261      0.002910
101  1148-001     -1.142049    -1.921404     -1.137066    -1.824915      -1.219889     -1.899541
102  1150+812      0.039373     0.014084      0.040256     0.014159       0.011992     -0.006680
103  1156+295      0.003398     0.004736      0.004426     0.001776      -0.000277      0.000195
104  1213-172     -0.009265     0.043719      0.019908     0.038814       0.034396      0.001068
105  1219+044     -0.010186    -0.000784      0.005502     0.000682      -0.005380     -0.000067
106  1219+285      0.004495    -0.004517      0.010593    -0.009123      -0.003792      0.010539
107  1219+285     -0.006578     0.006942     -0.000959    -0.000107      -0.001136      0.007339
108  1222+216     -0.016251    -0.000042     -0.024742     0.000370      -0.004674      0.000863
109  1226+023     -0.558986    -0.423944     -0.335305    -0.211796       0.006761      0.058875
110  1226+023     -0.175188    -0.062026     -0.049156     0.042085      -0.010521     -0.017308
